id,code,name,active
company_activity_153102,153102,ELABORACION DE PRODUCTOS DE MOLINERIA NO INCLUIDOS CANASTA BASICA,TRUE
company_activity_153103,153103,BENEFICIO DE ARROZ,TRUE
company_activity_153104,153104,ELABORACION DE PRODUCTOS DE MOLINERIA INCLUIDOS EN CANASTA BASICA,TRUE
company_activity_153201,153201,ELABORACION DE PRODUCTOS DERIVADOS DE ALMIDON,TRUE
company_activity_153301,153301,ELABORACION DE ALIMENTOS PARA ANIMALES DESTINADOS AL CONSUMO HUMANO,TRUE
company_activity_153302,153302,ELABORACION DE PACAS DE HENO,TRUE
company_activity_154101,154101,VENTA DE PAN Y OTROS PRODUCTOS SIMILARES GRAVADOS CON IVA,TRUE
company_activity_154102,154102,ELABORACION Y VENTA DE PRODUCTOS DE PANADERIA NO INCLUIDOS EN CANASTA BASICA ,TRUE
company_activity_154104,154104,ELABORACION Y VENTA DE PRODUCTOS DE PANADERIA INCLUIDOS EN CANASTA BASICA,TRUE
company_activity_154201,154201,ELABORACION  Y VENTA DE AZÚCAR Y PRODUCTOS DERIVADOS DE LA CANA DE AZÚCAR,TRUE
company_activity_154301,154301,ELABORACION DE CACAO,TRUE
company_activity_154302,154302,ELABORACION DE CHOCOLATE,TRUE
company_activity_154303,154303,"ELABORACION DE DULCES, GOLOSINAS Y CONSERVAS EN AZUCAR",TRUE
company_activity_154401,154401,"ELABORACION DE MACARRONES, FIDEOS, ALCUZCUZ Y PRODUCTOS FARINACEOS SIMILARES",TRUE
company_activity_154402,154402,"ELABORACION DE MACARRONES, FIDEOS, ALCUZCUZ Y PRODUCTOS FARINACEOS SIMILARES INCLUIDOS EN CANASTA BASICA",TRUE
company_activity_154902,154902,FABRICACION DE PRODUCTOS ALIMENTICIOS PREPARADOS N.C.P. (NO CONTEMPLADOS EN OTRA,TRUE
company_activity_154903,154903,FABRICACION DE HIELO,TRUE
company_activity_154904,154904,"FABRICACION DE CAFE (EXCEPTO EL ENVASADO, ENLATADO, SOLUBLEY EL DESCAFEINADO)",TRUE
company_activity_154905,154905,ELABORACION DE PRODUCTOS DE MAIZ EXENTOS DE IVA,TRUE
company_activity_154908,154908,ELABORACION DE PRODUCTOS DE MAIZ GRAVADOS CON IVA,TRUE
company_activity_155101,155101,ELABORAC. RECTIFICAC MEZCLA BEBIDAS ALCOHOLICAS/PROD. DE ALCOHOL ETILICO (SUSTAN,TRUE
company_activity_155103,155103,ELABORACION DE BEBIDAS CON PORCENTAJE DE ALCOHOL POR VOLUMEN MENOR AL 15%.,TRUE
company_activity_155301,155301,ELABORACION DE BEBIDAS MALTEADAS Y DE MALTA NO ARTESANALES,TRUE
company_activity_155302,155302,ELABORACION ARTESANAL DE BEBIDAS MALTEADAS Y DE MALTA.,TRUE
company_activity_155403,155403,ELABORACION DE BEBIDAS NO ALCOHOLICAS / GASEOSAS / AGUA MINERAL Y DE MANANTIAL,TRUE
company_activity_155404,155404,ELABORACION DE CONCENTRADO PARA BEBIDAS NATURALES Y GASEOSAS,TRUE
company_activity_160001,160001,ELABORACION DE PRODUCTOS DE TABACO,TRUE
company_activity_171101,171101,FABRICACION DE TODO TIPO DE TELAS Y/O HILOS,TRUE
company_activity_171201,171201,MAQUILA DE PRODUCTOS TEXTILES,TRUE
company_activity_171202,171202,HIDROFUGADO/IMPERMEABILIZADO,TRUE
company_activity_172101,172101,"FABRICACION DE ARTICULOS CONFECCIONADOS DE MATERIALES TEXTILES, EXEPTO PRENDAS D",TRUE
company_activity_172103,172103,DISENO ARTISTICO PARA COSTURA (MOLDES),TRUE
company_activity_172201,172201,FABRICACION DE TAPICES Y ALFOMBRAS,TRUE
company_activity_172301,172301,"FABRICACION DE CUERDAS, CORDELES,BRAMANTES Y REDES",TRUE
company_activity_172302,172302,FABRICACION DE HILOS Y CUERDAS PARA USO AGRICOLA Y PESCA,TRUE
company_activity_172902,172902,SERVICIO DE BORDADO A MANO O A MAQUINA,TRUE
company_activity_173001,173001,FABRICACION DE TEJDOS Y ARTICULOS DE PUNTO Y GANCHILLO,TRUE
company_activity_181001,181001,SERVICIOS DE COSTURA Y SASTRERIA (COSTURERAS Y SASTRES),TRUE
company_activity_181002,181002,FABRICACION DE PRENDAS DE VESTIR (ROPA DE TODO TIPO),TRUE
company_activity_182001,182001,ADOBO Y TENIDO DE PIELES; FABRICACION DE ARTICULOS DE PIEL NATURAL O ARTIFICIAL,TRUE
company_activity_191101,191101,"FABRICACION DE MALETAS, BOLSOS DE MANO Y ARTICULOS SIMILARES",TRUE
company_activity_192001,192001,FABRICACION DE  TODO TIPO DE ZAPATOS EXEPTO EL ORTOPEDICO,TRUE
company_activity_201002,201002,ASERRADO Y ACEPILLADURA DE MADERA,TRUE
company_activity_202101,202101,"FABRICACION DE HOJAS DE MADERA PARA ENCHAPADO Y TABLEROS COMO PLYWOOD, DURPANEL",TRUE
company_activity_202201,202201,FABRICACION DE PARTES Y PIEZAS DE CARPINTERIA PARA EDIFICIOS Y CONSTRUCCIONES,TRUE
company_activity_202301,202301,FABRICACION DE TARIMAS,TRUE
company_activity_202902,202902,"FABRICACION  Y/O VENTA DE ATAUDES (CAJAS MORTUORIAS, FERETROS).",TRUE
